design,follow_up_years,true_relative_reduction,power
"E. Stepped wedge 30, 5 steps",2,0.2,0.402
"E. Stepped wedge 30, 5 steps",2,0.25,0.598
"E. Stepped wedge 30, 5 steps",2,0.3,0.778
"E. Stepped wedge 30, 5 steps",3,0.1,0.155
"E. Stepped wedge 30, 5 steps",3,0.15,0.319
"E. Stepped wedge 30, 5 steps",3,0.2,0.540
"E. Stepped wedge 30, 5 steps",3,0.25,0.756
"E. Stepped wedge 30, 5 steps",3,0.3,0.905
"E. Stepped wedge 30, 5 steps",4,0.1,0.190
"E. Stepped wedge 30, 5 steps",4,0.15,0.399
"E. Stepped wedge 30, 5 steps",4,0.2,0.652
"E. Stepped wedge 30, 5 steps",4,0.25,0.856
"E. Stepped wedge 30, 5 steps",4,0.3,0.961
"E. Stepped wedge 30, 5 steps",5,0.1,0.225
"E. Stepped wedge 30, 5 steps",5,0.15,0.473
"E. Stepped wedge 30, 5 steps",5,0.2,0.741
"E. Stepped wedge 30, 5 steps",5,0.25,0.917
"E. Stepped wedge 30, 5 steps",5,0.3,0.985
"F. DiD vs 150, 3-yr baseline",1,0.1,0.268
"F. DiD vs 150, 3-yr baseline",1,0.15,0.538
"F. DiD vs 150, 3-yr baseline",1,0.2,0.800
"F. DiD vs 150, 3-yr baseline",1,0.25,0.947
"F. DiD vs 150, 3-yr baseline",1,0.3,0.992
"F. DiD vs 150, 3-yr baseline",2,0.1,0.391
"F. DiD vs 150, 3-yr baseline",2,0.15,0.730
"F. DiD vs 150, 3-yr baseline",2,0.2,0.937
"F. DiD vs 150, 3-yr baseline",2,0.25,0.993
"F. DiD vs 150, 3-yr baseline",2,0.3,1.000
"F. DiD vs 150, 3-yr baseline",3,0.1,0.466
"F. DiD vs 150, 3-yr baseline",3,0.15,0.815
"F. DiD vs 150, 3-yr baseline",3,0.2,0.971
"F. DiD vs 150, 3-yr baseline",3,0.25,0.998
"F. DiD vs 150, 3-yr baseline",3,0.3,1.000
"F. DiD vs 150, 3-yr baseline",4,0.1,0.515
"F. DiD vs 150, 3-yr baseline",4,0.15,0.859
"F. DiD vs 150, 3-yr baseline",4,0.2,0.984
"F. DiD vs 150, 3-yr baseline",4,0.25,0.999
"F. DiD vs 150, 3-yr baseline",4,0.3,1.000
"F. DiD vs 150, 3-yr baseline",5,0.1,0.549
"F. DiD vs 150, 3-yr baseline",5,0.15,0.885
"F. DiD vs 150, 3-yr baseline",5,0.2,0.989
"F. DiD vs 150, 3-yr baseline",5,0.25,1.000
"F. DiD vs 150, 3-yr baseline",5,0.3,1.000
"G. DiD vs 150, 6-yr baseline",1,0.1,0.302
"G. DiD vs 150, 6-yr baseline",1,0.15,0.602
"G. DiD vs 150, 6-yr baseline",1,0.2,0.859
"G. DiD vs 150, 6-yr baseline",1,0.25,0.973
"G. DiD vs 150, 6-yr baseline",1,0.3,0.998
"G. DiD vs 150, 6-yr baseline",2,0.1,0.476
"G. DiD vs 150, 6-yr baseline",2,0.15,0.830
"G. DiD vs 150, 6-yr baseline",2,0.2,0.978
"G. DiD vs 150, 6-yr baseline",2,0.25,0.999
"G. DiD vs 150, 6-yr baseline",2,0.3,1.000
"G. DiD vs 150, 6-yr baseline",3,0.1,0.589
"G. DiD vs 150, 6-yr baseline",3,0.15,0.917
"G. DiD vs 150, 6-yr baseline",3,0.2,0.995
"G. DiD vs 150, 6-yr baseline",3,0.25,1.000
"G. DiD vs 150, 6-yr baseline",3,0.3,1.000
"G. DiD vs 150, 6-yr baseline",4,0.1,0.665
"G. DiD vs 150, 6-yr baseline",4,0.15,0.954
"G. DiD vs 150, 6-yr baseline",4,0.2,0.999
"G. DiD vs 150, 6-yr baseline",4,0.25,1.000
"G. DiD vs 150, 6-yr baseline",4,0.3,1.000
"G. DiD vs 150, 6-yr baseline",5,0.1,0.718
"G. DiD vs 150, 6-yr baseline",5,0.15,0.972
"G. DiD vs 150, 6-yr baseline",5,0.2,0.999
"G. DiD vs 150, 6-yr baseline",5,0.25,1.000
"G. DiD vs 150, 6-yr baseline",5,0.3,1.000
