outcome,months,mdes_relative_reduction
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",14.5,0.1301
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",15.0,0.1281
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",15.5,0.1263
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",16.0,0.1246
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",16.5,0.1229
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",17.0,0.1214
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",17.5,0.1200
"Composite: + neonatal deaths (~47 events/cluster/yr), 3-yr baseline",18.0,0.1186
"Sick-visit only, no usable baseline",6.0,0.2978
"Sick-visit only, no usable baseline",6.5,0.2858
"Sick-visit only, no usable baseline",7.0,0.2759
"Sick-visit only, no usable baseline",7.5,0.2675
"Sick-visit only, no usable baseline",8.0,0.2605
"Sick-visit only, no usable baseline",8.5,0.2543
"Sick-visit only, no usable baseline",9.0,0.2490
"Sick-visit only, no usable baseline",9.5,0.2443
"Sick-visit only, no usable baseline",10.0,0.2402
"Sick-visit only, no usable baseline",10.5,0.2365
"Sick-visit only, no usable baseline",11.0,0.2331
"Sick-visit only, no usable baseline",11.5,0.2301
"Sick-visit only, no usable baseline",12.0,0.2274
"Sick-visit only, no usable baseline",12.5,0.2249
"Sick-visit only, no usable baseline",13.0,0.2226
"Sick-visit only, no usable baseline",13.5,0.2205
"Sick-visit only, no usable baseline",14.0,0.2185
"Sick-visit only, no usable baseline",14.5,0.2167
"Sick-visit only, no usable baseline",15.0,0.2151
"Sick-visit only, no usable baseline",15.5,0.2135
"Sick-visit only, no usable baseline",16.0,0.2121
"Sick-visit only, no usable baseline",16.5,0.2107
"Sick-visit only, no usable baseline",17.0,0.2094
"Sick-visit only, no usable baseline",17.5,0.2082
"Sick-visit only, no usable baseline",18.0,0.2071
"Composite, no usable baseline",6.0,0.2817
"Composite, no usable baseline",6.5,0.2704
"Composite, no usable baseline",7.0,0.2610
"Composite, no usable baseline",7.5,0.2532
"Composite, no usable baseline",8.0,0.2466
"Composite, no usable baseline",8.5,0.2408
"Composite, no usable baseline",9.0,0.2358
"Composite, no usable baseline",9.5,0.2314
"Composite, no usable baseline",10.0,0.2275
"Composite, no usable baseline",10.5,0.2240
"Composite, no usable baseline",11.0,0.2208
"Composite, no usable baseline",11.5,0.2180
"Composite, no usable baseline",12.0,0.2154
"Composite, no usable baseline",12.5,0.2131
"Composite, no usable baseline",13.0,0.2109
"Composite, no usable baseline",13.5,0.2089
"Composite, no usable baseline",14.0,0.2071
"Composite, no usable baseline",14.5,0.2054
"Composite, no usable baseline",15.0,0.2039
"Composite, no usable baseline",15.5,0.2024
"Composite, no usable baseline",16.0,0.2010
"Composite, no usable baseline",16.5,0.1998
"Composite, no usable baseline",17.0,0.1986
"Composite, no usable baseline",17.5,0.1974
"Composite, no usable baseline",18.0,0.1964
